Accession;Org_location;Geo_Location;Country;USA;Host;Host family;Tissue_Specimen_Source;Collection_Date;Total Monthly Precipitation;Monthly Maximum Temperature;Monthly Minimum Temperature
OZ201452;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2017;2.67;26.6;15.2
OZ201480;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2017;2.67;26.6;15.2
OZ201485;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2017;2.67;26.6;15.2
OZ201505;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2017;2.67;26.6;15.2
OZ201736;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2017;2.67;26.6;15.2
OZ201837;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2017;2.67;26.6;15.2
OZ201467;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-08-2017;2.67;26.6;15.2
OZ201718;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-08-2017;2.67;26.6;15.2
OZ201827;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-08-2017;2.67;26.6;15.2
OZ201708;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-08-2017;2.67;26.6;15.2
OZ201717;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-08-2017;2.67;26.6;15.2
OZ201822;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-08-2017;2.67;26.6;15.2
OZ201704;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2017;2.67;26.6;15.2
OZ201420;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2017;2.67;26.6;15.2
OZ201422;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2017;2.67;26.6;15.2
OZ201723;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2017;2.67;26.6;15.2
OZ201739;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2017;2.67;26.6;15.2
OZ201824;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2017;2.67;26.6;15.2
OZ201925;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2017;2.67;26.6;15.2
OZ201493;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-08-2017;2.67;26.6;15.2
OZ201914;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-08-2017;2.67;26.6;15.2
OZ201919;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-08-2017;2.67;26.6;15.2
OZ201928;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-08-2017;2.67;26.6;15.2
OZ201432;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;28-08-2017;2.67;26.6;15.2
OZ201559;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;28-08-2017;2.67;26.6;15.2
OZ201596;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2017;2.67;26.6;15.2
OZ201598;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2017;2.67;26.6;15.2
OZ201760;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2017;2.67;26.6;15.2
OZ201409;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;31-08-2017;2.67;26.6;15.2
OZ201331;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;06-09-2017;2.18;24.6;13.7
OZ201856;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;06-09-2017;2.18;24.6;13.7
OZ201363;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-09-2017;2.18;24.6;13.7
OZ201873;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-09-2017;2.18;24.6;13.7
OZ201849;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-09-2017;2.18;24.6;13.7
OZ201852;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;18-09-2017;2.18;24.6;13.7
OZ201354;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-09-2017;2.18;24.6;13.7
OZ201853;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-09-2017;2.18;24.6;13.7
OZ201370;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-09-2017;2.18;24.6;13.7
OZ201864;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-10-2017;7.97;20.9;9.1
OZ201859;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;10-07-2018;5.25;29;17.9
OZ201342;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;11-07-2018;5.25;29;17.9
OZ201848;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;11-07-2018;5.25;29;17.9
OZ201860;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;11-07-2018;5.25;29;17.9
OZ201391;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-07-2018;5.25;29;17.9
OZ201403;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-07-2018;5.25;29;17.9
OZ201862;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-07-2018;5.25;29;17.9
OZ201866;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-07-2018;5.25;29;17.9
OZ201320;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;18-07-2018;5.25;29;17.9
OZ201324;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;18-07-2018;5.25;29;17.9
OZ201402;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;18-07-2018;5.25;29;17.9
OZ201404;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;18-07-2018;5.25;29;17.9
OZ201417;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;19-07-2018;5.25;29;17.9
OZ201434;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;19-07-2018;5.25;29;17.9
OZ201675;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;19-07-2018;5.25;29;17.9
OZ201664;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-07-2018;5.25;29;17.9
OZ201667;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-07-2018;5.25;29;17.9
OZ201672;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-07-2018;5.25;29;17.9
OZ201680;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-07-2018;5.25;29;17.9
OZ201777;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-07-2018;5.25;29;17.9
OZ201784;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-07-2018;5.25;29;17.9
OZ201790;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-07-2018;5.25;29;17.9
OZ201798;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-07-2018;5.25;29;17.9
OZ201668;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-07-2018;5.25;29;17.9
OZ201670;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-07-2018;5.25;29;17.9
OZ201678;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-07-2018;5.25;29;17.9
OZ201685;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-07-2018;5.25;29;17.9
OZ201687;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-07-2018;5.25;29;17.9
OZ201689;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-07-2018;5.25;29;17.9
OZ201769;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-07-2018;5.25;29;17.9
OZ201804;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;24-07-2018;5.25;29;17.9
OZ201444;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2018;5.8;28.6;18.9
OZ201446;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2018;5.8;28.6;18.9
OZ201533;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2018;5.8;28.6;18.9
OZ201536;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2018;5.8;28.6;18.9
OZ201541;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2018;5.8;28.6;18.9
OZ201546;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2018;5.8;28.6;18.9
OZ201548;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;09-08-2018;5.8;28.6;18.9
OZ201374;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-08-2018;5.8;28.6;18.9
OZ201591;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-08-2018;5.8;28.6;18.9
OZ201655;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-08-2018;5.8;28.6;18.9
OZ201663;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-08-2018;5.8;28.6;18.9
OZ201364;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201368;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201423;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201558;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201560;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201562;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201589;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201597;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201601;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201602;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201607;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201815;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2018;5.8;28.6;18.9
OZ201448;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-08-2018;5.8;28.6;18.9
OZ201595;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-08-2018;5.8;28.6;18.9
OZ201608;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-08-2018;5.8;28.6;18.9
OZ201643;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-08-2018;5.8;28.6;18.9
OZ201645;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-08-2018;5.8;28.6;18.9
OZ201652;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;15-08-2018;5.8;28.6;18.9
OZ201433;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2018;5.8;28.6;18.9
OZ201634;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2018;5.8;28.6;18.9
OZ201636;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2018;5.8;28.6;18.9
OZ201642;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2018;5.8;28.6;18.9
OZ201818;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2018;5.8;28.6;18.9
OZ201821;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2018;5.8;28.6;18.9
OZ201829;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2018;5.8;28.6;18.9
OZ201830;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2018;5.8;28.6;18.9
OZ201842;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;16-08-2018;5.8;28.6;18.9
OZ201658;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-08-2018;5.8;28.6;18.9
OZ201660;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-08-2018;5.8;28.6;18.9
OZ201839;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-08-2018;5.8;28.6;18.9
OZ201843;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-08-2018;5.8;28.6;18.9
OZ201847;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-08-2018;5.8;28.6;18.9
OZ201537;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-08-2018;5.8;28.6;18.9
OZ201543;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-08-2018;5.8;28.6;18.9
OZ201844;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-08-2018;5.8;28.6;18.9
OZ201846;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-08-2018;5.8;28.6;18.9
OZ201869;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-08-2018;5.8;28.6;18.9
OZ201891;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-08-2018;5.8;28.6;18.9
OZ201443;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2018;5.8;28.6;18.9
OZ201535;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2018;5.8;28.6;18.9
OZ201538;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2018;5.8;28.6;18.9
OZ201545;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2018;5.8;28.6;18.9
OZ201547;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2018;5.8;28.6;18.9
OZ201551;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2018;5.8;28.6;18.9
OZ201552;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2018;5.8;28.6;18.9
OZ201893;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;22-08-2018;5.8;28.6;18.9
OZ201615;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2018;5.8;28.6;18.9
OZ201789;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2018;5.8;28.6;18.9
OZ201801;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2018;5.8;28.6;18.9
OZ201805;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2018;5.8;28.6;18.9
OZ201889;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2018;5.8;28.6;18.9
OZ201895;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2018;5.8;28.6;18.9
OZ201909;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;23-08-2018;5.8;28.6;18.9
OZ201421;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-08-2018;5.8;28.6;18.9
OZ201442;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-08-2018;5.8;28.6;18.9
OZ201746;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-08-2018;5.8;28.6;18.9
OZ201747;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-08-2018;5.8;28.6;18.9
OZ201763;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-08-2018;5.8;28.6;18.9
OZ201796;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-08-2018;5.8;28.6;18.9
OZ201800;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-08-2018;5.8;28.6;18.9
OZ201803;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-08-2018;5.8;28.6;18.9
OZ201807;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;27-08-2018;5.8;28.6;18.9
OZ201610;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;28-08-2018;5.8;28.6;18.9
OZ201617;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;28-08-2018;5.8;28.6;18.9
OZ201619;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;28-08-2018;5.8;28.6;18.9
OZ201788;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;28-08-2018;5.8;28.6;18.9
OZ201791;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;28-08-2018;5.8;28.6;18.9
OZ201792;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;28-08-2018;5.8;28.6;18.9
OZ201304;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201315;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201325;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201340;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201401;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201609;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201612;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201613;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201616;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201618;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201699;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201700;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201710;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201926;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;29-08-2018;5.8;28.6;18.9
OZ201327;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201330;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201332;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201373;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201378;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201392;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201571;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201574;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201576;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201577;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201579;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201582;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201583;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201584;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201585;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201588;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201590;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201593;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201875;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201876;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201877;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201888;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-08-2018;5.8;28.6;18.9
OZ201303;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201311;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201326;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201461;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201463;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201464;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201573;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201580;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201592;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201599;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201757;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201879;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201885;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;04-09-2018;8.68;23.5;14.9
OZ201305;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-09-2018;8.68;23.5;14.9
OZ201415;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-09-2018;8.68;23.5;14.9
OZ201440;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-09-2018;8.68;23.5;14.9
OZ201450;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-09-2018;8.68;23.5;14.9
OZ201456;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-09-2018;8.68;23.5;14.9
OZ201477;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-09-2018;8.68;23.5;14.9
OZ201497;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-09-2018;8.68;23.5;14.9
OZ201506;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-09-2018;8.68;23.5;14.9
OZ201738;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-09-2018;8.68;23.5;14.9
OZ201744;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-09-2018;8.68;23.5;14.9
OZ201489;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;06-09-2018;8.68;23.5;14.9
OZ201532;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;06-09-2018;8.68;23.5;14.9
OZ201539;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;06-09-2018;8.68;23.5;14.9
OZ201553;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;06-09-2018;8.68;23.5;14.9
OZ201651;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;10-09-2018;8.68;23.5;14.9
OZ201899;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;10-09-2018;8.68;23.5;14.9
OZ201887;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-09-2018;8.68;23.5;14.9
OZ201337;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-09-2018;8.68;23.5;14.9
OZ201904;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;17-09-2018;8.68;23.5;14.9
OZ201398;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;19-09-2018;8.68;23.5;14.9
OZ201406;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;20-09-2018;8.68;23.5;14.9
OZ201376;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;03-10-2018;4.99;16.2;6.4
OZ201414;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-07-2019;4.61;29.8;18.2
OZ201725;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;30-07-2019;4.61;29.8;18.2
OZ201449;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;01-08-2019;4.29;27.5;15.9
OZ201367;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;05-08-2019;4.29;27.5;15.9
OZ201386;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;08-08-2019;4.29;27.5;15.9
OZ201825;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;08-08-2019;4.29;27.5;15.9
OZ201817;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;12-08-2019;4.29;27.5;15.9
OZ201379;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-08-2019;4.29;27.5;15.9
OZ201384;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-08-2019;4.29;27.5;15.9
OZ201816;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-08-2019;4.29;27.5;15.9
OZ201834;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;13-08-2019;4.29;27.5;15.9
OZ201413;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2019;4.29;27.5;15.9
OZ201487;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2019;4.29;27.5;15.9
OZ201499;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2019;4.29;27.5;15.9
OZ201529;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2019;4.29;27.5;15.9
OZ201836;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;14-08-2019;4.29;27.5;15.9
OZ201513;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;19-08-2019;4.29;27.5;15.9
OZ201515;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;19-08-2019;4.29;27.5;15.9
OZ201511;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-08-2019;4.29;27.5;15.9
OZ201517;USA;USA:Connecticut;USA;CT;Culex pipiens;Culicidae;;21-08-2019;4.29;27.5;15.9
