Accession;Organism_Name;GenBank_RefSeq;Assembly;Org_location;Release_Date;Isolate;Species;Length;Nuc_Completeness;Geo_Location;Country;USA;Host;Tissue_Specimen_Source;Collection_Date
OZ201907;West Nile virus;GenBank;;USA;2024-11-07;WP69L-9-10-Cme;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culiseta melanura;;2018-09-10
OZ201908;West Nile virus;GenBank;;USA;2024-11-07;MO52L-9-6-Cme-11;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culiseta melanura;;2018-09-06
OZ201909;West Nile virus;GenBank;;USA;2024-11-07;SW86G-8-23-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-23
OZ201910;West Nile virus;GenBank;;USA;2024-11-07;MO52L-9-6-Cme-3;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culiseta melanura;;2018-09-06
OZ201911;West Nile virus;GenBank;;USA;2024-11-07;OR59L-9-11-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2018-09-11
OZ201912;West Nile virus;GenBank;;USA;2024-11-07;SM62G-7-27-Cxp-12;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-07-27
OZ201913;West Nile virus;GenBank;;USA;2024-11-07;SM62G-9-23-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2019-09-23
OZ201914;West Nile virus;GenBank;;USA;2024-11-07;WR91G-8-24-Cxp;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-08-24
OZ201915;West Nile virus;GenBank;;USA;2024-11-07;SM62G-9-24-Cxp-2;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2019-09-24
OZ201916;West Nile virus;GenBank;;USA;2024-11-07;ST64L-7-19-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-07-19
OZ201917;West Nile virus;GenBank;;USA;2024-11-07;ST64G-8-29-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2018-08-29
OZ201918;West Nile virus;GenBank;;USA;2024-11-07;SM62G-8-4-Cxp-3;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-08-04
OZ201919;West Nile virus;GenBank;;USA;2024-11-07;D41G-8-24-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-08-24
OZ201920;West Nile virus;GenBank;;USA;2024-11-07;NH54L-8-23-Cxs-3;Orthoflavivirus nilense;11028;partial;USA:Connecticut;USA;CT;Culex salinarius;;2017-08-23
OZ201921;West Nile virus;GenBank;;USA;2024-11-07;DB76L-9-6-Cxr;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex restuans;;2018-09-06
OZ201922;West Nile virus;GenBank;;USA;2024-11-07;SM88G-8-4-Cxp-6;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-08-04
OZ201923;West Nile virus;GenBank;;USA;2024-11-07;ST64L-7-31-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-07-31
OZ201924;West Nile virus;GenBank;;USA;2024-11-07;ST64G-7-27-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-07-27
OZ201925;West Nile virus;GenBank;;USA;2024-11-07;SM62G-8-23-Cxp-4;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-08-23
OZ201926;West Nile virus;GenBank;;USA;2024-11-07;ME81G-8-29-Cxp;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2018-08-29
OZ201927;West Nile virus;GenBank;;USA;2024-11-07;WH104L-7-24-Cxp;Orthoflavivirus nilense;11028;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-07-24
OZ201928;West Nile virus;GenBank;;USA;2024-11-07;SM62G-8-24-Cxp;Orthoflavivirus nilense;11027;partial;USA:Connecticut;USA;CT;Culex pipiens;;2017-08-24
OZ200913;West Nile virus;GenBank;;USA;2024-11-05;SM63L-7-26-Cxp;Orthoflavivirus nilense;11029;partial;USA:Connecticut;USA;CT;Culex pipiens;;2016-07-26
PP445211;West Nile virus;GenBank;;USA;2024-10-13;135322a-L1;Orthoflavivirus nilense;11008;partial;USA: Nebraska;USA;NE;Homo sapiens;blood;2023-08-20
PP445212;West Nile virus;GenBank;;USA;2024-10-13;135322a-L3;Orthoflavivirus nilense;10704;partial;USA: Nebraska;USA;NE;Homo sapiens;blood;2023-08-20
OZ188208;West Nile virus;GenBank;;USA;2024-10-08;BP39G-7-26-Cxp-7;Orthoflavivirus nilense;11029;partial;USA;USA;;Culex pipiens;;2016-07-26
OR605719;West Nile virus;GenBank;;USA;2023-10-25;MFL-20-7;Orthoflavivirus nilense;10785;complete;USA: Miami Florida;USA;;Culex quinquefasciatus;;2020-06-09
OR605720;West Nile virus;GenBank;;USA;2023-10-25;MFL-20-14;Orthoflavivirus nilense;10785;complete;USA: Miami Florida;USA;;Culex quinquefasciatus;;2020-06-09
OQ721113;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;tissue;2011-08-29
OQ721114;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Ramsey, Minnesota;USA;MN;;tissue;2005-07-31
OQ721115;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Aphelocoma californica;tissue;2012-06-07
OQ721116;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Turdus migratorius;tissue;2009-09-04
OQ721117;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Lucas, Ohio;USA;OH;;tissue;2018-07-17
OQ721118;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Mahnomen, Minnesota;USA;MN;;tissue;2005-07-26
OQ721119;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Culex tarsalis;pooled insects;2004-09-17
OQ721120;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Aphelocoma californica;tissue;2017-06-07
OQ721121;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Hillsborough, New Hampshire;USA;NH;Culex restuans;pooled insects;2015-09-09
OQ721122;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Cook, Illinois;USA;IL;Culex restuans;pooled insects;2018-08-16
OQ721123;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Kern, California;USA;CA;;tissue;2005-06-24
OQ721124;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Grant, Washington;USA;WA;;tissue;2016-01-01
OQ721125;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Grant, Washington;USA;WA;;tissue;2015-01-01
OQ721126;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Polk, Iowa;USA;IA;Culex restuans;pooled insects;2017-07-10
OQ721127;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Aphelocoma;tissue;2008-05-08
OQ721128;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Rockingham, New Hampshire;USA;NH;Culiseta melanura;pooled insects;2017-09-15
OQ721129;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Polk, Iowa;USA;IA;Culex pipiens;pooled insects;2016-08-19
OQ721130;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Culex pipiens;pooled insects;2012-08-24
OQ721131;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;tissue;2016-07-10
OQ721132;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Fillmore, Minnesota;USA;MN;Corvus;tissue;2002-08-08
OQ721133;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Polk, Iowa;USA;IA;Culex pipiens;pooled insects;2016-07-03
OQ721134;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Woodbury, Iowa;USA;IA;Culex pipiens;pooled insects;2017-08-14
OQ721135;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Aphelocoma californica;tissue;2009-09-27
OQ721136;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Williams, Ohio;USA;OH;;tissue;2018-07-31
OQ721137;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex pipiens;pooled insects;2014-08-11
OQ721138;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Hillsborough, New Hampshire;USA;NH;Aedes cinereus;pooled insects;2018-08-13
OQ721139;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Story, Iowa;USA;IA;Culex pipiens;pooled insects;2016-08-19
OQ721140;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: WBR, Louisiana;USA;LA;Culex quinquefasciatus;pooled insects;2017-07-17
OQ721141;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: nan, Idaho;USA;ID;Haliaeetus leucocephalus;tissue;2017-01-01
OQ721142;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10241;partial;USA: Ramsey, Minnesota;USA;MN;Corvus;tissue;2002-08-09
OQ721143;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Culex tarsalis;pooled insects;2010-07-24
OQ721144;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Cook, Illinois;USA;IL;Culex;pooled insects;2018-08-30
OQ721145;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Polk, Iowa;USA;IA;Culex restuans;pooled insects;2017-08-14
OQ721146;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Allen, Louisiana;USA;LA;Culex quinquefasciatus;pooled insects;2017-07-04
OQ721147;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex tarsalis;pooled insects;2013-08-05
OQ721148;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Ascension, Louisiana;USA;LA;Culex quinquefasciatus;pooled insects;2018-08-22
OQ721149;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Kings, California;USA;CA;Culex tarsalis;pooled insects;2016-07-07
OQ721150;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex pipiens;pooled insects;2018-08-13
OQ721151;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;tissue;2014-09-29
OQ721152;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Black Hawk, Iowa;USA;IA;Culex restuans;pooled insects;2017-07-31
OQ721153;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Woodbury, Iowa;USA;IA;Culex pipiens;pooled insects;2017-08-21
OQ721154;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex pipiens;pooled insects;2013-08-26
OQ721155;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Culex tarsalis;pooled insects;2004-10-08
OQ721156;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Aphelocoma californica;tissue;2007-07-24
OQ721157;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Yolo, California;USA;CA;;tissue;2008-09-02
OQ721158;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex pipiens;pooled insects;2017-08-07
OQ721159;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Pottawattamie, Iowa;USA;IA;Culex restuans;pooled insects;2017-09-11
OQ721160;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Summit, Ohio;USA;OH;;tissue;2018-07-17
OQ721161;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;tissue;2008-09-24
OQ721162;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Washington, Minnesota;USA;WA;;tissue;2005-08-02
OQ721163;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Fillmore, Minnesota;USA;MN;;tissue;2004-06-28
OQ721164;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex pipiens;pooled insects;2018-08-06
OQ721165;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Monona, Iowa;USA;IA;Culex restuans;pooled insects;2017-09-18
OQ721166;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;tissue;2014-10-02
OQ721167;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;tissue;2011-08-18
OQ721168;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Cook, Illinois;USA;IL;Culex restuans;pooled insects;2018-07-12
OQ721169;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex tarsalis;pooled insects;2017-07-17
OQ721170;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: WBR, Louisiana;USA;LA;Culex quinquefasciatus;pooled insects;2018-08-09
OQ721171;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;tissue;2015-08-03
OQ721172;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Culex tarsalis;pooled insects;2009-07-09
OQ721173;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Aphelocoma californica;tissue;2008-07-06
OQ721174;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;tissue;2008-09-19
OQ721175;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Yolo, California;USA;CA;Aphelocoma californica;tissue;2009-10-02
OQ721176;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;;tissue;2017-07-05
OQ721177;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Culex tarsalis;pooled insects;2007-07-28
OQ721178;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;;tissue;2004-08-26
OQ721179;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Pottawattamie, Iowa;USA;IA;Culex restuans;pooled insects;2017-08-21
OQ721180;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;tissue;2008-06-02
OQ721181;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Black Hawk, Iowa;USA;IA;Culex pipiens;pooled insects;2020-08-19
OQ721182;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Nobles, Minnesota;USA;MN;Corvus;tissue;2002-08-07
OQ721183;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Story, Iowa;USA;IA;Culex restuans;pooled insects;2017-09-11
OQ721184;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;tissue;2008-11-05
OQ721185;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex tarsalis;pooled insects;2013-07-29
OQ721186;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Tangipahoa, Louisiana;USA;LA;Culex quinquefasciatus;pooled insects;2018-08-28
OQ721187;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Kern, California;USA;CA;Corvus brachyrhynchos;tissue;2012-07-31
OQ721188;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: St. Tammany, Louisiana;USA;LA;Culex quinquefasciatus;pooled insects;2018-08-13
OQ721189;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex tarsalis;pooled insects;2015-08-03
OQ721190;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Culex tarsalis;pooled insects;2009-07-14
OQ721191;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Pottawattamie, Iowa;USA;IA;Culex restuans;pooled insects;2017-08-21
OQ721192;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Pottawattamie, Iowa;USA;IA;Culex pipiens;pooled insects;2017-09-11
OQ721193;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Solano, California;USA;CA;;tissue;2005-08-03
OQ721194;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Story, Iowa;USA;IA;Culex restuans;pooled insects;2017-08-21
OQ721195;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Yolo, California;USA;CA;Culex tarsalis;pooled insects;2015-07-31
OQ721196;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Mimus polyglottos;tissue;2011-08-23
OQ721197;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: WBR, Louisiana;USA;LA;Culex quinquefasciatus;pooled insects;2018-08-14
OQ721198;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Summit, Ohio;USA;OH;;tissue;2018-07-17
OQ721199;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Grant, Washington;USA;WA;;tissue;2017-01-01
OQ721200;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Aphelocoma californica;tissue;2014-08-12
OQ721201;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Culex tarsalis;pooled insects;2008-08-19
OQ721202;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Story, Iowa;USA;IA;Culex pipiens;pooled insects;2016-08-08
OQ721203;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex tarsalis;pooled insects;2013-08-26
OQ721204;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Black Hawk, Iowa;USA;IA;Culex restuans;pooled insects;2017-08-07
OQ721205;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;tissue;2015-09-22
OQ721206;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;tissue;2010-08-02
OQ721207;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Yolo, California;USA;CA;Culex tarsalis;pooled insects;2013-07-16
OQ721208;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Polk, Iowa;USA;IA;Culex restuans;pooled insects;2017-08-14
OQ721209;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Yolo, California;USA;CA;Aphelocoma californica;tissue;2017-09-17
OQ721210;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex pipiens;pooled insects;2015-08-24
OQ721211;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Ouachita, Louisiana;USA;LA;Culex quinquefasciatus;pooled insects;2017-07-19
OQ721212;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Spokane, Washington;USA;WA;Culex pipiens;pooled insects;2018-08-08
OQ721213;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Polk, Iowa;USA;IA;Culex pipiens;pooled insects;2017-07-31
OQ721214;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Bossier, Louisiana;USA;LA;Culex quinquefasciatus;pooled insects;2017-08-08
OQ721215;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Aphelocoma californica;tissue;2015-08-06
OQ721216;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Yolo, California;USA;CA;Culex tarsalis;pooled insects;2015-08-20
OQ721217;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;tissue;2015-09-10
OQ721218;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Pottawattamie, Iowa;USA;IA;Culex restuans;pooled insects;2017-09-11
OQ721219;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Culex pipiens;pooled insects;2014-07-31
OQ721220;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Culex quinquefasciatus;pooled insects;2014-11-07
OQ721221;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex pipiens;pooled insects;2015-08-24
OQ721222;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Polk, Iowa;USA;IA;Culex pipiens;pooled insects;2017-08-14
OQ721223;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Yolo, California;USA;CA;Culex pipiens;pooled insects;2005-09-09
OQ721224;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;tissue;2008-06-18
OQ721225;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Yolo, California;USA;CA;Culex tarsalis;pooled insects;2010-07-20
OQ721226;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: EBR, Louisiana;USA;LA;Culex quinquefasciatus;pooled insects;2017-07-31
OQ721227;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Haemorhous mexicanus;tissue;2007-07-24
OQ721228;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Pottawattamie, Iowa;USA;IA;Culex restuans;pooled insects;2017-09-18
OQ721229;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Polk, Iowa;USA;IA;Culex pipiens;pooled insects;2020-10-05
OQ721230;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Hillsborough, New Hampshire;USA;NH;;pooled insects;2018-08-07
OQ721231;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;tissue;2010-07-02
OQ721232;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;;tissue;2005-07-06
OQ721233;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Larimer, Colorado;USA;CO;Culex pipiens;pooled insects;2017-07-31
OQ721234;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Culex tarsalis;pooled insects;2014-07-10
OQ721235;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Steele, Minnesota;USA;MN;;tissue;2004-06-30
OQ721236;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;tissue;2017-09-08
OQ721237;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Corvus brachyrhynchos;tissue;2015-10-04
OQ721238;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: EBR, Louisiana;USA;LA;Culex quinquefasciatus;pooled insects;2018-09-02
OQ721239;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;;tissue;2006-09-13
OQ721240;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: San Diego, California;USA;CA;Corvus brachyrhynchos;tissue;2009-03-23
OQ721241;West Nile virus;GenBank;;USA;2023-08-02;;Orthoflavivirus nilense;10302;partial;USA: Sacramento, California;USA;CA;Culex tarsalis;pooled insects;2011-09-08
